"store_id","payment_date","payment_amt","payment_running_total"
1,"2007-02-14 21:29:00.996577",4.99,4.99
1,"2007-02-14 21:44:52.996577",0.99,5.98
1,"2007-02-14 21:45:29.996577",4.99,10.97
1,"2007-02-14 22:57:03.996577",6.99,17.96
1,"2007-02-14 23:05:16.996577",7.99,25.95
1,"2007-02-14 23:10:43.996577",1.99,27.94
1,"2007-02-14 23:13:47.996577",5.99,33.93
1,"2007-02-14 23:22:38.996577",5.99,39.92
1,"2007-02-14 23:25:11.996577",0.99,40.91
1,"2007-02-14 23:47:05.996577",4.99,45.9
1,"2007-02-15 00:06:57.996577",4.99,50.89
1,"2007-02-15 00:11:12.996577",2.99,53.88
1,"2007-02-15 00:27:16.996577",2.99,56.87
1,"2007-02-15 00:28:17.996577",1.99,58.86
1,"2007-02-15 00:36:30.996577",0.99,59.85
1,"2007-02-15 00:50:12.996577",0.99,60.84
1,"2007-02-15 00:55:33.996577",4.99,65.83
1,"2007-02-15 01:29:46.996577",0.99,66.82
1,"2007-02-15 01:52:40.996577",4.99,71.81
1,"2007-02-15 01:53:10.996577",1.99,73.8
1,"2007-02-15 02:07:19.996577",2.99,76.79
1,"2007-02-15 02:12:51.996577",0.99,77.78
1,"2007-02-15 02:14:01.996577",0.99,78.77
1,"2007-02-15 02:18:29.996577",3.99,82.76
1,"2007-02-15 02:47:03.996577",6.99,89.75
1,"2007-02-15 02:50:18.996577",1.99,91.74
1,"2007-02-15 02:59:54.996577",2.99,94.73
1,"2007-02-15 03:02:53.996577",2.99,97.72
1,"2007-02-15 03:17:34.996577",2.99,100.71
1,"2007-02-15 03:21:27.996577",0.99,101.7
1,"2007-02-15 03:37:06.996577",4.99,106.69
1,"2007-02-15 04:02:18.996577",1.99,108.68
1,"2007-02-15 04:06:35.996577",8.99,117.67
1,"2007-02-15 04:27:21.996577",5.99,123.66
1,"2007-02-15 04:33:44.996577",8.99,132.65
1,"2007-02-15 04:34:59.996577",6.99,139.64
1,"2007-02-15 04:39:42.996577",4.99,144.63
1,"2007-02-15 04:42:11.996577",4.99,149.62
1,"2007-02-15 05:06:21.996577",4.99,154.61
1,"2007-02-15 05:10:51.996577",2.99,157.6
1,"2007-02-15 05:23:19.996577",0.99,158.59
1,"2007-02-15 05:28:05.996577",4.99,163.58
1,"2007-02-15 05:40:05.996577",3.99,167.57
1,"2007-02-15 05:49:47.996577",2.99,170.56
1,"2007-02-15 05:57:56.996577",1.99,172.55
1,"2007-02-15 05:58:25.996577",2.99,175.54
1,"2007-02-15 05:58:48.996577",0.99,176.53
1,"2007-02-15 06:00:50.996577",4.99,181.52
1,"2007-02-15 06:21:18.996577",2.99,184.51
1,"2007-02-15 06:37:38.996577",0.99,185.5
1,"2007-02-15 06:42:23.996577",0.99,186.49
1,"2007-02-15 06:55:56.996577",0.99,187.48
1,"2007-02-15 06:55:59.996577",2.99,190.47
1,"2007-02-15 07:01:32.996577",2.99,193.46
1,"2007-02-15 07:10:18.996577",2.99,196.45
1,"2007-02-15 07:12:35.996577",3.99,200.44
1,"2007-02-15 07:23:27.996577",5.99,206.43
1,"2007-02-15 07:32:18.996577",6.99,213.42
1,"2007-02-15 07:34:50.996577",4.99,218.41
1,"2007-02-15 07:59:54.996577",4.99,223.4
1,"2007-02-15 08:03:16.996577",4.99,228.39
1,"2007-02-15 08:04:45.996577",2.99,231.38
1,"2007-02-15 08:14:59.996577",10.99,242.37
1,"2007-02-15 08:24:23.996577",1.99,244.36
1,"2007-02-15 08:27:50.996577",1.99,246.35
1,"2007-02-15 08:40:08.996577",4.99,251.34
1,"2007-02-15 08:47:00.996577",5.99,257.33
1,"2007-02-15 08:50:11.996577",5.99,263.32
1,"2007-02-15 09:07:31.996577",2.99,266.31
1,"2007-02-15 09:17:43.996577",2.99,269.3
1,"2007-02-15 09:23:35.996577",2.99,272.29
1,"2007-02-15 09:31:50.996577",4.99,277.28
1,"2007-02-15 09:36:05.996577",1.99,279.27
1,"2007-02-15 09:40:05.996577",0.99,280.26
1,"2007-02-15 10:41:08.996577",2.99,283.25
1,"2007-02-15 10:46:00.996577",4.99,288.24
1,"2007-02-15 10:52:41.996577",3.99,292.23
